Name,Type,Origin,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
Acura,SUV,Asia,36945.0,33337.0,3.5,6.0,265,17,23,4451,106,189
Acura,Sedan,Asia,23820.0,21761.0,2.0,4.0,200,24,31,2778,101,172
Acura,Sedan,Asia,26990.0,24647.0,2.4,4.0,200,22,29,3230,105,183
Acura,Sedan,Asia,33195.0,30299.0,3.2,6.0,270,20,28,3575,108,186
Acura,Sedan,Asia,43755.0,39014.0,3.5,6.0,225,18,24,3880,115,197
Acura,Sedan,Asia,46100.0,41100.0,3.5,6.0,225,18,24,3893,115,197
Acura,Sports,Asia,89765.0,79978.0,3.2,6.0,290,17,24,3153,100,174
Audi,Sedan,Europe,25940.0,23508.0,1.8,4.0,170,22,31,3252,104,179
Audi,Sedan,Europe,35940.0,32506.0,1.8,4.0,170,23,30,3638,105,180
Audi,Sedan,Europe,31840.0,28846.0,3.0,6.0,220,20,28,3462,104,179
Audi,Sedan,Europe,33430.0,30366.0,3.0,6.0,220,17,26,3583,104,179
Audi,Sedan,Europe,34480.0,31388.0,3.0,6.0,220,18,25,3627,104,179
Audi,Sedan,Europe,36640.0,33129.0,3.0,6.0,220,20,27,3561,109,192
Audi,Sedan,Europe,39640.0,35992.0,3.0,6.0,220,18,25,3880,109,192
Audi,Sedan,Europe,42490.0,38325.0,3.0,6.0,220,20,27,3814,105,180
Audi,Sedan,Europe,44240.0,40075.0,3.0,6.0,220,18,25,4013,105,180
Audi,Sedan,Europe,42840.0,38840.0,2.7,6.0,250,18,25,3836,109,192
Audi,Sedan,Europe,49690.0,44936.0,4.2,8.0,300,17,24,4024,109,193
Audi,Sedan,Europe,69190.0,64740.0,4.2,8.0,330,17,24,4399,121,204
Audi,Sedan,Europe,48040.0,43556.0,4.2,8.0,340,14,20,3825,104,179
Audi,Sports,Europe,84600.0,76417.0,4.2,8.0,450,15,22,4024,109,191
Audi,Sports,Europe,35940.0,32512.0,1.8,4.0,180,20,28,3131,95,159
Audi,Sports,Europe,37390.0,33891.0,1.8,4.0,225,20,28,2921,96,159
Audi,Sports,Europe,40590.0,36739.0,3.2,6.0,250,21,29,3351,96,159
Audi,Wagon,Europe,40840.0,37060.0,3.0,6.0,220,18,25,4035,109,192
Audi,Wagon,Europe,49090.0,44446.0,4.2,8.0,340,15,21,3936,104,179
BMW,SUV,Europe,37000.0,33873.0,3.0,6.0,225,16,23,4023,110,180
BMW,SUV,Europe,52195.0,47720.0,4.4,8.0,325,16,22,4824,111,184
BMW,Sedan,Europe,28495.0,26155.0,2.5,6.0,184,20,29,3219,107,176
BMW,Sedan,Europe,30795.0,28245.0,2.5,6.0,184,20,29,3197,107,177
BMW,Sedan,Europe,37995.0,34800.0,2.5,6.0,184,19,27,3560,107,177
BMW,Sedan,Europe,30245.0,27745.0,2.5,6.0,184,19,27,3461,107,176
BMW,Sedan,Europe,35495.0,32525.0,3.0,6.0,225,20,30,3285,107,176
BMW,Sedan,Europe,36995.0,33890.0,3.0,6.0,225,20,30,3285,107,176
BMW,Sedan,Europe,37245.0,34115.0,3.0,6.0,225,20,29,3483,107,176
BMW,Sedan,Europe,39995.0,36620.0,2.5,6.0,184,19,28,3428,114,191
BMW,Sedan,Europe,44295.0,40530.0,3.0,6.0,225,19,28,3616,107,177
BMW,Sedan,Europe,44995.0,41170.0,3.0,6.0,225,20,30,3472,114,191
BMW,Sedan,Europe,54995.0,50270.0,4.4,8.0,325,18,26,3814,114,191
BMW,Sedan,Europe,69195.0,63190.0,4.4,8.0,325,18,26,4376,118,198
BMW,Sedan,Europe,73195.0,66830.0,4.4,8.0,325,18,26,4464,123,204
BMW,Sports,Europe,48195.0,44170.0,3.2,6.0,333,16,24,3415,108,177
BMW,Sports,Europe,56595.0,51815.0,3.2,6.0,333,16,23,3781,108,177
BMW,Sports,Europe,33895.0,31065.0,2.5,6.0,184,20,28,2932,98,161
BMW,Sports,Europe,41045.0,37575.0,3.0,6.0,225,21,29,2998,98,161
BMW,Wagon,Europe,32845.0,30110.0,2.5,6.0,184,19,26,3594,107,176
Buick,SUV,USA,37895.0,34357.0,4.2,6.0,275,15,21,4600,113,193
Buick,SUV,USA,26545.0,24085.0,3.4,6.0,185,19,26,4024,112,187
Buick,Sedan,USA,22180.0,20351.0,3.1,6.0,175,20,30,3353,109,195
Buick,Sedan,USA,26470.0,24282.0,3.8,6.0,205,20,29,3567,112,200
Buick,Sedan,USA,24895.0,22835.0,3.8,6.0,200,20,30,3461,109,196
Buick,Sedan,USA,28345.0,26047.0,3.8,6.0,240,18,28,3536,109,196
Buick,Sedan,USA,32245.0,29566.0,3.8,6.0,205,20,29,3591,112,200
Buick,Sedan,USA,35545.0,32244.0,3.8,6.0,205,20,29,3778,114,207
Buick,Sedan,USA,40720.0,36927.0,3.8,6.0,240,18,28,3909,114,207
Cadillac,SUV,USA,52795.0,48377.0,5.3,8.0,295,14,18,5367,116,199
Cadillac,SUV,USA,46995.0,43523.0,4.6,8.0,320,16,21,4302,116,195
Cadillac,Sedan,USA,30835.0,28575.0,3.6,6.0,255,18,25,3694,113,190
Cadillac,Sedan,USA,45445.0,41650.0,4.6,8.0,275,18,26,3984,115,207
Cadillac,Sedan,USA,50595.0,46362.0,4.6,8.0,300,18,26,4044,115,207
Cadillac,Sedan,USA,47955.0,43841.0,4.6,8.0,275,18,26,3992,112,201
Cadillac,Sports,USA,76200.0,70546.0,4.6,8.0,320,17,25,3647,106,178
Cadillac,Truck,USA,52975.0,48541.0,6.0,8.0,345,13,17,5879,130,221
Chevrolet,SUV,USA,42735.0,37422.0,5.3,8.0,295,14,18,4947,130,219
Chevrolet,SUV,USA,41465.0,36287.0,5.3,8.0,295,14,18,5050,116,197
Chevrolet,SUV,USA,30295.0,27479.0,4.2,6.0,275,16,21,4425,113,192
Chevrolet,SUV,USA,20255.0,19108.0,2.5,6.0,165,19,22,2866,98,163
Chevrolet,Sedan,USA,11690.0,10965.0,1.6,4.0,103,28,34,2370,98,167
Chevrolet,Sedan,USA,12585.0,11802.0,1.6,4.0,103,28,34,2348,98,153
Chevrolet,Sedan,USA,14610.0,13697.0,2.2,4.0,140,26,37,2617,104,183
Chevrolet,Sedan,USA,14810.0,13884.0,2.2,4.0,140,26,37,2676,104,183
Chevrolet,Sedan,USA,16385.0,15357.0,2.2,4.0,140,26,37,2617,104,183
Chevrolet,Sedan,USA,21900.0,20095.0,3.4,6.0,180,21,32,3465,111,200
Chevrolet,Sedan,USA,18995.0,17434.0,2.2,4.0,145,24,34,3174,106,188
Chevrolet,Sedan,USA,20370.0,18639.0,3.5,6.0,200,22,30,3297,106,188
Chevrolet,Sedan,USA,21825.0,20026.0,3.4,6.0,180,21,32,3340,111,198
Chevrolet,Sedan,USA,25000.0,22931.0,3.8,6.0,200,20,30,3476,111,200
Chevrolet,Sedan,USA,27995.0,25672.0,3.8,6.0,240,18,28,3606,111,200
Chevrolet,Sedan,USA,23495.0,21551.0,3.5,6.0,200,23,32,3315,106,188
Chevrolet,Sedan,USA,24225.0,22222.0,3.8,6.0,200,18,28,3434,111,198
Chevrolet,Sedan,USA,26395.0,23954.0,4.3,6.0,190,14,17,4605,111,190
Chevrolet,Sedan,USA,27020.0,24518.0,3.4,6.0,185,19,26,3699,112,187
Chevrolet,Sports,USA,44535.0,39068.0,5.7,8.0,350,18,25,3246,105,180
Chevrolet,Sports,USA,51535.0,45193.0,5.7,8.0,350,18,25,3248,105,180
Chevrolet,Truck,USA,36100.0,31689.0,5.3,8.0,295,14,18,5678,130,222
Chevrolet,Truck,USA,18760.0,17070.0,2.8,4.0,175,18,23,3623,111,192
Chevrolet,Truck,USA,20310.0,18480.0,4.3,6.0,200,15,21,4142,119,206
Chevrolet,Truck,USA,40340.0,35399.0,6.0,8.0,300,13,17,4804,144,238
Chevrolet,Truck,USA,41995.0,39306.0,5.3,8.0,300,16,19,4760,116,191
Chevrolet,Wagon,USA,22225.0,20394.0,3.5,6.0,200,22,30,3458,112,188
Chrysler,Sedan,USA,17985.0,16919.0,2.4,4.0,150,22,29,3101,103,169
Chrysler,Sedan,USA,22000.0,20573.0,2.4,4.0,150,22,29,3105,103,169
Chrysler,Sedan,USA,19090.0,17805.0,2.4,4.0,150,22,30,3173,108,191
Chrysler,Sedan,USA,21840.0,20284.0,2.7,6.0,200,21,28,3222,108,191
Chrysler,Sedan,USA,29865.0,27797.0,3.5,6.0,250,18,27,3581,113,198
Chrysler,Sedan,USA,24130.0,22452.0,2.7,6.0,200,21,29,3479,113,208
Chrysler,Sedan,USA,26860.0,24909.0,3.5,6.0,232,19,27,3548,113,208
Chrysler,Sedan,USA,25955.0,24172.0,2.4,4.0,220,21,27,3217,103,169
Chrysler,Sedan,USA,25215.0,23451.0,2.4,4.0,150,22,30,3357,106,194
Chrysler,Sedan,USA,33295.0,30884.0,3.5,6.0,255,18,27,3650,113,198
Chrysler,Sedan,USA,30950.0,28613.0,2.7,6.0,200,21,28,3448,106,194
Chrysler,Sedan,USA,27490.0,25371.0,3.3,6.0,180,19,26,4068,119,201
Chrysler,Sedan,USA,38380.0,35063.0,3.8,6.0,215,18,25,4331,119,201
Chrysler,Sports,USA,34495.0,32033.0,3.2,6.0,215,17,25,3060,95,160
Chrysler,Wagon,USA,31230.0,28725.0,3.5,6.0,250,17,23,4675,116,199
Dodge,SUV,USA,32235.0,29472.0,4.7,8.0,230,15,21,4987,119,201
Dodge,Sedan,USA,13670.0,12849.0,2.0,4.0,132,29,36,2581,105,174
Dodge,Sedan,USA,15040.0,14086.0,2.0,4.0,132,29,36,2626,105,174
Dodge,Sedan,USA,22035.0,20502.0,2.7,6.0,200,21,29,3469,113,204
Dodge,Sedan,USA,18820.0,17512.0,2.4,4.0,150,21,28,3182,108,191
